id,account,active,booked,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
5ozmhime8v,2013-01-02:00:00:00,2013-01-02:01:48:12,2013-01-05:00:00:00,FEMALE,44.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
2llh6fo1cp,2013-01-02:00:00:00,2013-01-02:01:57:46,2013-01-04:00:00:00,MALE,47.0,basic,0,en,sem-brand,google,tracked-other,Web,iPad,Mobile Safari,US
n4o9woov3x,2013-01-02:00:00:00,2013-01-02:03:20:05,2013-03-11:00:00:00,FEMALE,56.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
q7a55cobxp,2013-01-02:00:00:00,2013-01-02:03:44:15,2013-01-16:00:00:00,FEMALE,34.0,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Chrome,US
9dz0er4rej,2013-01-02:00:00:00,2013-01-02:04:01:44,2013-01-20:00:00:00,FEMALE,65.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,US
ouyrwxyl7a,2013-01-02:00:00:00,2013-01-02:05:26:50,2013-01-30:00:00:00,FEMALE,24.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
25zx7avdme,2013-01-02:00:00:00,2013-01-02:06:11:12,2013-03-03:00:00:00,FEMALE,57.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,other
l6b4mr5b1y,2013-01-02:00:00:00,2013-01-02:07:42:52,2013-02-16:00:00:00,FEMALE,30.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,other
hleg708qzo,2013-01-02:00:00:00,2013-01-02:07:46:21,2013-01-06:00:00:00,MALE,31.0,facebook,21,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
tswqwju5lr,2013-01-02:00:00:00,2013-01-02:07:49:33,2013-08-15:00:00:00,FEMALE,47.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,US
c2zm3lzzw4,2013-01-02:00:00:00,2013-01-02:08:54:41,2013-03-27:00:00:00,MALE,33.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other
qmk0rfez7c,2013-01-02:00:00:00,2013-01-02:15:02:37,2013-01-07:00:00:00,FEMALE,32.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
ndbqhvg80t,2013-01-02:00:00:00,2013-01-02:17:25:52,2013-03-24:00:00:00,MALE,39.0,facebook,12,en,api,other,omg,Moweb,Mac Desktop,Chrome,US
debbyt39o3,2013-01-02:00:00:00,2013-01-02:18:27:42,2013-01-04:00:00:00,FEMALE,41.0,basic,0,en,direct,direct,omg,Web,Windows Desktop,IE,US
08nydybna2,2013-01-02:00:00:00,2013-01-02:19:15:43,2013-01-02:00:00:00,FEMALE,32.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,other
uh4jjve0x9,2013-01-02:00:00:00,2013-01-02:19:50:24,2013-02-02:00:00:00,FEMALE,44.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
1jo7tdfiem,2013-01-02:00:00:00,2013-01-02:20:40:14,2013-01-03:00:00:00,MALE,62.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,US
xkmkvq1fye,2013-01-02:00:00:00,2013-01-02:20:47:25,2013-09-29:00:00:00,FEMALE,34.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
bfzxxhwhni,2013-01-02:00:00:00,2013-01-02:23:05:53,2013-02-17:00:00:00,FEMALE,36.0,facebook,0,hu,direct,direct,omg,Web,iPad,Mobile Safari,other
oz4vdvft9w,2013-01-03:00:00:00,2013-01-03:00:13:48,2013-05-19:00:00:00,FEMALE,38.0,basic,0,en,other,other,tracked-other,Web,Mac Desktop,Firefox,US
av6jwvry78,2013-01-03:00:00:00,2013-01-03:00:31:36,2013-01-05:00:00:00,FEMALE,39.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,FR
pw88g064up,2013-01-03:00:00:00,2013-01-03:00:42:49,2013-10-06:00:00:00,MALE,34.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
gy10cnodcp,2013-01-03:00:00:00,2013-01-03:01:56:38,2013-01-04:00:00:00,FEMALE,40.0,facebook,0,en,seo,google,linked,Web,Windows Desktop,IE,US
qjzv22qxit,2013-01-03:00:00:00,2013-01-03:02:25:52,2013-01-03:00:00:00,FEMALE,65.0,facebook,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US
gkhgow5fln,2013-01-03:00:00:00,2013-01-03:02:27:21,2013-01-03:00:00:00,MALE,27.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
e63g8cis1s,2013-01-03:00:00:00,2013-01-03:02:44:15,2013-01-18:00:00:00,FEMALE,65.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
41jsta57n9,2013-01-03:00:00:00,2013-01-03:03:14:59,2013-07-04:00:00:00,FEMALE,32.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US
0v2ldvlq3l,2013-01-03:00:00:00,2013-01-03:03:44:58,2013-12-27:00:00:00,FEMALE,28.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
usv849q0nk,2013-01-03:00:00:00,2013-01-03:04:09:53,2013-01-03:00:00:00,FEMALE,27.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
n85emdmtlh,2013-01-03:00:00:00,2013-01-03:04:13:40,2013-01-06:00:00:00,MALE,40.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,other
qbmmg7wild,2013-01-03:00:00:00,2013-01-03:04:25:15,2013-01-27:00:00:00,MALE,39.0,facebook,0,en,content,facebook,omg,Web,Windows Desktop,IE,US
136uwfwtkk,2013-01-03:00:00:00,2013-01-03:04:47:56,2013-02-19:00:00:00,MALE,35.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other
cqwsatpkfh,2013-01-03:00:00:00,2013-01-03:04:55:09,2013-09-10:00:00:00,FEMALE,28.0,facebook,0,en,sem-non-brand,bing,linked,Web,Windows Desktop,Chrome,PT
35i47hzjt2,2013-01-03:00:00:00,2013-01-03:05:35:03,2013-01-03:00:00:00,MALE,33.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,other
ke5weejlsy,2013-01-03:00:00:00,2013-01-03:05:48:50,2013-03-13:00:00:00,MALE,34.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
f1ij2f2opl,2013-01-03:00:00:00,2013-01-03:08:09:34,2013-01-30:00:00:00,MALE,53.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,other
v3gsx3f36o,2013-01-03:00:00:00,2013-01-03:08:19:24,2013-01-10:00:00:00,MALE,38.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
o97787qwr6,2013-01-03:00:00:00,2013-01-03:17:38:46,2013-01-05:00:00:00,FEMALE,26.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
rgyrmscps4,2013-01-03:00:00:00,2013-01-03:19:17:41,2013-01-04:00:00:00,FEMALE,34.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US
o9d8mejffl,2013-01-03:00:00:00,2013-01-03:20:48:38,2013-01-15:00:00:00,FEMALE,53.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,IT
l8ua367xwn,2013-01-03:00:00:00,2013-01-03:20:50:08,2013-11-30:00:00:00,FEMALE,32.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
ys08819e8e,2013-01-03:00:00:00,2013-01-03:20:52:01,2013-01-03:00:00:00,FEMALE,30.0,facebook,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US
o1sk03rt58,2013-01-04:00:00:00,2013-01-04:00:11:40,2013-01-07:00:00:00,MALE,51.0,basic,0,en,sem-non-brand,google,omg,Web,Desktop (Other),Chrome,US
z5d12nbxue,2013-01-04:00:00:00,2013-01-04:01:04:24,2013-01-04:00:00:00,MALE,59.0,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,other
j3sn64w1ra,2013-01-04:00:00:00,2013-01-04:01:50:36,2013-06-14:00:00:00,FEMALE,51.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
3yw0ggbe80,2013-01-04:00:00:00,2013-01-04:03:10:00,2013-01-11:00:00:00,FEMALE,47.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
un7vn0jyuw,2013-01-04:00:00:00,2013-01-04:03:51:11,2013-01-06:00:00:00,FEMALE,34.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,FR
3wwii297jl,2013-01-04:00:00:00,2013-01-04:08:38:50,2013-04-16:00:00:00,FEMALE,25.0,facebook,0,en,other,other,tracked-other,Web,Mac Desktop,Chrome,US
j96l8vleh3,2013-01-04:00:00:00,2013-01-04:09:27:33,2013-01-10:00:00:00,FEMALE,45.0,facebook,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,other
w1oy7thbsw,2013-01-04:00:00:00,2013-01-04:18:17:54,2013-06-23:00:00:00,FEMALE,76.0,basic,0,en,content,gsp,omg,Web,Windows Desktop,IE,US
2fh51jilpd,2013-01-04:00:00:00,2013-01-04:18:31:09,2013-01-31:00:00:00,FEMALE,56.0,basic,0,en,sem-brand,google,linked,Web,Mac Desktop,Safari,GB
rt4z5z8y40,2013-01-04:00:00:00,2013-01-04:18:39:37,2013-01-05:00:00:00,MALE,42.0,facebook,0,en,other,other,tracked-other,Web,Windows Desktop,Firefox,US
w6il7przzc,2013-01-04:00:00:00,2013-01-04:18:40:52,2013-03-21:00:00:00,FEMALE,68.0,facebook,0,en,direct,direct,omg,Web,Mac Desktop,Safari,IT
acwrf50tkh,2013-01-04:00:00:00,2013-01-04:19:20:32,2013-01-13:00:00:00,FEMALE,41.0,basic,0,en,sem-brand,google,omg,Web,iPhone,Mobile Safari,FR
g01469psio,2013-01-04:00:00:00,2013-01-04:19:37:24,2013-01-04:00:00:00,FEMALE,86.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,IE,US
2y7nq8e4hj,2013-01-04:00:00:00,2013-01-04:19:54:48,2013-01-05:00:00:00,MALE,39.0,basic,0,en,direct,direct,tracked-other,Web,Windows Desktop,Chrome,other
i1167gc5mt,2013-01-04:00:00:00,2013-01-04:22:46:57,2013-03-04:00:00:00,FEMALE,57.0,basic,0,en,sem-non-brand,vast,omg,Web,Windows Desktop,IE,other
gflwwj3i3e,2013-01-05:00:00:00,2013-01-05:00:13:54,2013-01-17:00:00:00,FEMALE,30.0,basic,0,en,direct,direct,product,Web,Mac Desktop,Chrome,US
fsdzzf52wn,2013-01-05:00:00:00,2013-01-05:01:53:42,2013-01-05:00:00:00,MALE,78.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
