id,account,active,booked,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,active_to_booked,days
5ozmhime8v,2013-01-02,2013-01-02,2013-01-05,FEMALE,44.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,3 days 00:00:00.000000000,3.0
2llh6fo1cp,2013-01-02,2013-01-02,2013-01-04,MALE,47.0,basic,0,en,sem-brand,google,tracked-other,Web,iPad,Mobile Safari,US,2 days 00:00:00.000000000,2.0
n4o9woov3x,2013-01-02,2013-01-02,2013-03-11,FEMALE,56.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,68 days 00:00:00.000000000,68.0
q7a55cobxp,2013-01-02,2013-01-02,2013-01-16,FEMALE,34.0,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Chrome,US,14 days 00:00:00.000000000,14.0
9dz0er4rej,2013-01-02,2013-01-02,2013-01-20,FEMALE,65.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,US,18 days 00:00:00.000000000,18.0
ouyrwxyl7a,2013-01-02,2013-01-02,2013-01-30,FEMALE,24.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,28 days 00:00:00.000000000,28.0
25zx7avdme,2013-01-02,2013-01-02,2013-03-03,FEMALE,57.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,other,60 days 00:00:00.000000000,60.0
l6b4mr5b1y,2013-01-02,2013-01-02,2013-02-16,FEMALE,30.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,other,45 days 00:00:00.000000000,45.0
hleg708qzo,2013-01-02,2013-01-02,2013-01-06,MALE,31.0,facebook,21,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,4 days 00:00:00.000000000,4.0
tswqwju5lr,2013-01-02,2013-01-02,2013-08-15,FEMALE,47.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,US,225 days 00:00:00.000000000,225.0
c2zm3lzzw4,2013-01-02,2013-01-02,2013-03-27,MALE,33.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other,84 days 00:00:00.000000000,84.0
qmk0rfez7c,2013-01-02,2013-01-02,2013-01-07,FEMALE,32.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US,5 days 00:00:00.000000000,5.0
ndbqhvg80t,2013-01-02,2013-01-02,2013-03-24,MALE,39.0,facebook,12,en,api,other,omg,Moweb,Mac Desktop,Chrome,US,81 days 00:00:00.000000000,81.0
debbyt39o3,2013-01-02,2013-01-02,2013-01-04,FEMALE,41.0,basic,0,en,direct,direct,omg,Web,Windows Desktop,IE,US,2 days 00:00:00.000000000,2.0
08nydybna2,2013-01-02,2013-01-02,2013-01-02,FEMALE,32.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,other,0 days 00:00:00.000000000,0.0
uh4jjve0x9,2013-01-02,2013-01-02,2013-02-02,FEMALE,44.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,31 days 00:00:00.000000000,31.0
1jo7tdfiem,2013-01-02,2013-01-02,2013-01-03,MALE,62.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,US,1 days 00:00:00.000000000,1.0
xkmkvq1fye,2013-01-02,2013-01-02,2013-09-29,FEMALE,34.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,270 days 00:00:00.000000000,270.0
bfzxxhwhni,2013-01-02,2013-01-02,2013-02-17,FEMALE,36.0,facebook,0,hu,direct,direct,omg,Web,iPad,Mobile Safari,other,46 days 00:00:00.000000000,46.0
oz4vdvft9w,2013-01-03,2013-01-03,2013-05-19,FEMALE,38.0,basic,0,en,other,other,tracked-other,Web,Mac Desktop,Firefox,US,136 days 00:00:00.000000000,136.0
av6jwvry78,2013-01-03,2013-01-03,2013-01-05,FEMALE,39.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,FR,2 days 00:00:00.000000000,2.0
pw88g064up,2013-01-03,2013-01-03,2013-10-06,MALE,34.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,276 days 00:00:00.000000000,276.0
gy10cnodcp,2013-01-03,2013-01-03,2013-01-04,FEMALE,40.0,facebook,0,en,seo,google,linked,Web,Windows Desktop,IE,US,1 days 00:00:00.000000000,1.0
qjzv22qxit,2013-01-03,2013-01-03,2013-01-03,FEMALE,65.0,facebook,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US,0 days 00:00:00.000000000,0.0
gkhgow5fln,2013-01-03,2013-01-03,2013-01-03,MALE,27.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,0 days 00:00:00.000000000,0.0
e63g8cis1s,2013-01-03,2013-01-03,2013-01-18,FEMALE,65.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,15 days 00:00:00.000000000,15.0
41jsta57n9,2013-01-03,2013-01-03,2013-07-04,FEMALE,32.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US,182 days 00:00:00.000000000,182.0
0v2ldvlq3l,2013-01-03,2013-01-03,2013-12-27,FEMALE,28.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,358 days 00:00:00.000000000,358.0
usv849q0nk,2013-01-03,2013-01-03,2013-01-03,FEMALE,27.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,0 days 00:00:00.000000000,0.0
n85emdmtlh,2013-01-03,2013-01-03,2013-01-06,MALE,40.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,other,3 days 00:00:00.000000000,3.0
qbmmg7wild,2013-01-03,2013-01-03,2013-01-27,MALE,39.0,facebook,0,en,content,facebook,omg,Web,Windows Desktop,IE,US,24 days 00:00:00.000000000,24.0
136uwfwtkk,2013-01-03,2013-01-03,2013-02-19,MALE,35.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other,47 days 00:00:00.000000000,47.0
cqwsatpkfh,2013-01-03,2013-01-03,2013-09-10,FEMALE,28.0,facebook,0,en,sem-non-brand,bing,linked,Web,Windows Desktop,Chrome,PT,250 days 00:00:00.000000000,250.0
35i47hzjt2,2013-01-03,2013-01-03,2013-01-03,MALE,33.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,other,0 days 00:00:00.000000000,0.0
ke5weejlsy,2013-01-03,2013-01-03,2013-03-13,MALE,34.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US,69 days 00:00:00.000000000,69.0
